"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"55111","0","10","70","0","1990","A","","Sauk County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1340,23131,400891717,0,0,333,17332,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",62,4.9,463,2.0,28643809,7.7,-178067317,-100.0,-6857608,-100.0,18,5.7,911,5.5
"55111","1","10","71","0","1990","A","","Sauk County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,114,2968640,0,0,501,26041,"",1.18,0.17,0.19,0.00,0.00,1.17,1.17,"",0,0.0,-5,-4.2,236583,8.7,0,0.0,0,0.0,60,13.6,3083,13.4
"55111","1","102","72","0","1990","A","","Sauk County, Wisconsin","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,114,2968640,0,0,501,26041,"",1.18,0.17,0.20,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","1","1021","73","0","1990","A","","Sauk County, Wisconsin","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,104,2805763,0,0,519,26978,"",2.83,0.51,0.61,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","1","1028","73","0","1990","A","","Sauk County, Wisconsin","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,10,162877,0,0,313,16288,"",0.19,0.03,0.02,0.00,0.00,0.73,0.73,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","1","48-49","74","0","1990","A","","Sauk County, Wisconsin","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,104,2805763,0,0,519,26978,"",2.91,0.56,0.64,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","1","491","75","0","1990","A","","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,104,2805763,0,0,519,26978,"",2.97,0.59,0.68,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","1","4911","76","0","1990","A","","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,104,2805763,0,0,519,26978,"",2.97,0.59,0.68,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","1","49111","77","0","1990","A","","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,104,2805763,0,0,519,26978,"",2.97,0.59,0.68,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","1","491110","78","0","1990","A","","Sauk County, Wisconsin","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,104,2805763,0,0,519,26978,"",2.97,0.59,0.68,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","1","92","74","0","1990","A","","Sauk County, Wisconsin","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,10,162877,0,0,313,16288,"",0.19,0.03,0.02,0.00,0.00,0.73,0.73,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","1","924","75","0","1990","A","","Sauk County, Wisconsin","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,10,162877,0,0,313,16288,"",0.72,0.41,0.31,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","1","9241","76","0","1990","A","","Sauk County, Wisconsin","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,10,162877,0,0,313,16288,"",0.72,0.41,0.31,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","1","92412","77","0","1990","A","","Sauk County, Wisconsin","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,10,162877,0,0,313,16288,"",0.73,0.48,0.37,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","1","924120","78","0","1990","A","","Sauk County, Wisconsin","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,10,162877,0,0,313,16288,"",0.73,0.48,0.37,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","2","10","71","0","1990","A","","Sauk County, Wisconsin","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,24,628683,0,0,502,26104,"",0.32,0.03,0.04,0.00,0.00,1.37,1.37,"",0,0.0,3,14.3,71736,12.9,0,0.0,0,0.0,-8,-1.6,-417,-1.6
"55111","2","102","72","0","1990","A","","Sauk County, Wisconsin","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,24,628683,0,0,502,26104,"",0.33,0.03,0.04,0.00,0.00,1.37,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","3","10","71","0","1990","A","","Sauk County, Wisconsin","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",47,2316,42007927,0,0,349,18141,"",2.06,1.03,1.08,0.00,0.00,1.05,1.05,"",0,0.0,-14,-0.6,3537598,9.2,0,0.0,0,0.0,32,10.1,1631,9.9
"55111","3","102","72","0","1990","A","","Sauk County, Wisconsin","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",47,2316,42007927,0,0,349,18141,"",2.15,1.04,1.09,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","3","1025","73","0","1990","A","","Sauk County, Wisconsin","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",5,1177,25612153,0,0,419,21765,"",0.91,0.85,1.09,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","3","1028","73","0","1990","A","","Sauk County, Wisconsin","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",40,1133,16351648,0,0,278,14439,"",3.38,1.72,1.40,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","3","6111","76","0","1990","A","","Sauk County, Wisconsin","Local Government","Elementary and secondary schools","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,1177,25612153,0,0,419,21765,"",1.16,1.04,1.30,0.00,0.00,1.26,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","3","61111","77","0","1990","A","","Sauk County, Wisconsin","Local Government","Elementary and secondary schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,1177,25612153,0,0,419,21765,"",1.16,1.04,1.30,0.00,0.00,1.26,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","3","611110","78","0","1990","A","","Sauk County, Wisconsin","Local Government","Elementary and secondary schools","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,1177,25612153,0,0,419,21765,"",1.16,1.04,1.30,0.00,0.00,1.26,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","3","92","74","0","1990","A","","Sauk County, Wisconsin","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",40,1133,16351648,0,0,278,14439,"",3.38,1.72,1.40,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","3","921","75","0","1990","A","","Sauk County, Wisconsin","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",37,1127,16278886,0,0,278,14451,"",4.87,2.48,2.21,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","3","9211","76","0","1990","A","","Sauk County, Wisconsin","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",37,1127,16278886,0,0,278,14451,"",4.87,2.48,2.21,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","3","92114","77","0","1990","A","","Sauk County, Wisconsin","Local Government","Executive and legislative offices, combined","County, NAICS 5-digit -- by ownership sector","All establishment sizes",37,1127,16278886,0,0,278,14451,"",7.82,3.78,3.41,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","3","921140","78","0","1990","A","","Sauk County, Wisconsin","Local Government","Executive and legislative offices, combined","County, NAICS 6-digit -- by ownership sector","All establishment sizes",37,1127,16278886,0,0,278,14451,"",7.82,3.78,3.41,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","10","71","0","1990","A","","Sauk County, Wisconsin","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1278,20677,355286467,0,0,330,17183,"",0.99,1.07,1.07,0.00,0.00,1.01,1.01,"",63,5.2,478,2.4,24797892,7.5,-178067317,-100.0,-6857608,-100.0,16,5.1,822,5.0
"55111","5","101","72","0","1990","A","","Sauk County, Wisconsin","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",291,7627,167064216,0,0,421,21903,"",1.13,1.45,1.58,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","1011","73","0","1990","A","","Sauk County, Wisconsin","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",31,505,9995701,0,0,380,19784,"",1.12,1.36,1.61,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","1012","73","0","1990","A","","Sauk County, Wisconsin","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",160,1543,41276858,0,0,514,26745,"",1.10,1.40,1.93,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","1013","73","0","1990","A","","Sauk County, Wisconsin","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",101,5579,115791657,0,0,399,20756,"",1.18,1.47,1.48,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","102","72","0","1990","A","","Sauk County, Wisconsin","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",987,13049,188222251,0,0,277,14424,"",0.95,0.93,0.84,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","1021","73","0","1990","A","","Sauk County, Wisconsin","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",372,4718,75003025,0,0,306,15899,"",1.06,0.99,1.00,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","1022","73","0","1990","A","","Sauk County, Wisconsin","Private","Information","County, by Supersector -- by ownership sector","All establishment sizes",19,199,3299108,0,0,319,16571,"",1.01,0.34,0.24,0.00,0.00,0.71,0.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","1023","73","0","1990","A","","Sauk County, Wisconsin","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",92,756,12746271,0,0,324,16871,"",0.79,0.52,0.42,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","1024","73","0","1990","A","","Sauk County, Wisconsin","Private","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",100,1365,27094859,0,0,382,19849,"",0.57,0.61,0.61,0.00,0.00,1.00,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","1025","73","0","1990","A","","Sauk County, Wisconsin","Private","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",77,1958,34584077,0,0,340,17659,"",0.67,0.86,0.91,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","1026","73","0","1990","A","","Sauk County, Wisconsin","Private","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",229,3608,29900199,0,0,159,8288,"",2.12,1.80,1.99,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","1027","73","0","1990","A","","Sauk County, Wisconsin","Private","Other services","County, by Supersector -- by ownership sector","All establishment sizes",98,446,5594712,0,0,241,12544,"",0.66,0.61,0.66,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","112","75","0","1990","A","","Sauk County, Wisconsin","Private","Animal production and aquaculture","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,87,1310999,0,0,291,15112,"",2.36,2.67,3.37,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","1121","76","0","1990","A","","Sauk County, Wisconsin","Private","Cattle ranching and farming","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,50,741330,0,0,288,14976,"",2.34,3.18,3.94,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","115","75","0","1990","A","","Sauk County, Wisconsin","Private","Agriculture and forestry support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,342,7303035,0,0,411,21370,"",3.32,6.00,14.64,0.00,0.00,2.45,2.44,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","1152","76","0","1990","A","","Sauk County, Wisconsin","Private","Support activities for animal production","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,330,7044606,0,0,410,21331,"",10.27,74.31,132.04,0.00,0.00,1.77,1.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","11521","77","0","1990","A","","Sauk County, Wisconsin","Private","Support activities for animal production","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,330,7044606,0,0,410,21331,"",10.27,74.31,132.04,0.00,0.00,1.77,1.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","115210","78","0","1990","A","","Sauk County, Wisconsin","Private","Support activities for animal production","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,330,7044606,0,0,410,21331,"",10.27,74.31,132.04,0.00,0.00,1.77,1.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","23","74","0","1990","A","","Sauk County, Wisconsin","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",160,1543,41276858,0,0,514,26745,"",1.10,1.40,1.93,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","236","75","0","1990","A","","Sauk County, Wisconsin","Private","Construction of buildings","County, NAICS 3-digit -- by ownership sector","All establishment sizes",56,525,12088538,0,0,443,23018,"",1.25,1.86,2.15,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","2361","76","0","1990","A","","Sauk County, Wisconsin","Private","Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",42,202,3036982,0,0,289,15047,"",1.25,1.58,1.39,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","23611","77","0","1990","A","","Sauk County, Wisconsin","Private","Residential building construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",42,202,3036982,0,0,289,15047,"",1.25,1.58,1.39,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55111","5","236115","78","0","1990","A","","Sauk County, Wisconsin","Private","New single-family general contractors","County, NAICS 6-digit -- by ownership sector","All establishment sizes",34,178,2614999,0,0,283,14712,"",1.83,2.45,2.12,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
