Type,No.,Address,City,St.,Opened,Closed,County
Discount Store,2070,3101 A Street,Anchorage,Alaska,"March 29, 1994","November 8, 2011",N/A
Supercenter,2070,3101 A Street,Anchorage,Alaska,"November 9, 2011",,N/A
Discount Store,2071,8900 Old Seward Highway,Anchorage,Alaska,"March 29, 1994","October 27, 2009",N/A
Supercenter,2071,8900 Old Seward Highway,Anchorage,Alaska,"October 28, 2009",,N/A
Supercenter,4359,7405 Debarr Road,Anchorage,Alaska,"September 25, 2013",,N/A
Discount Store,2188,18600 Eagle River Road,Eagle River,Alaska,"April 26, 2000","November 11, 2008",N/A
Supercenter,2188,18600 Eagle River Road,Eagle River,Alaska,"November 12, 2008",,N/A
Discount Store,2722,537 Johansen Expressway,Fairbanks,Alaska,"April 28, 2004","June 24, 2008",Fairbanks North Star Borough
Supercenter,2722,537 Johansen Expressway,Fairbanks,Alaska,"June 25, 2008",,Fairbanks North Star Borough
Supercenter,3814,6525 Glacier Highway,Juneau,Alaska,"September 12, 2007","February 5, 2016",N/A
Supercenter,4474,10096 Kenai Spur Highway,Kenai,Alaska,"March 31, 2010",,Kenai Peninsula Borough
Discount Store,2710,4230 Don King Road,Ketchikan,Alaska,"March 21, 2001",,Ketchikan Gateway Borough
Discount Store,2711,2911 Mill Bay Road,Kodiak,Alaska,"March 31, 1999",,Kodiak Island Borough
Discount Store,2074,1000 South Seward Meridian Parkway,Wasilla,Alaska,"March 29, 1994","March 28, 2000",Matanuska-Susitna Borough
Discount Store,2074,1350 South Seward Meridian Parkway,Wasilla,Alaska,"March 29, 2000","October 30, 2007",Matanuska-Susitna Borough
Supercenter,2074,1350 South Seward Meridian Parkway,Wasilla,Alaska,"October 31, 2007",,Matanuska-Susitna Borough
Neighborhood Market,2186,407 West Washington Street,Abbeville,Alabama,"November 19, 2014","January 28, 2016",N/A
Discount Store,1158,2000 Forestdale Boulevard,Adamsville,Alabama,"March 1, 1988","April 13, 2004",Jefferson County
Supercenter,1158,2473 Hackworth Road,Adamsville,Alabama,"April 14, 2004",,Jefferson County
Supercenter,423,"Propst Promenade, 630 Colonial Promenade Parkway",Alabaster,Alabama,"August 24, 2005",,Shelby County
