"Label (Grouping)","ZCTA5 98674!!Households!!Estimate","ZCTA5 98674!!Households!!Margin of Error","ZCTA5 98674!!Families!!Estimate","ZCTA5 98674!!Families!!Margin of Error","ZCTA5 98674!!Married-couple families!!Estimate","ZCTA5 98674!!Married-couple families!!Margin of Error","ZCTA5 98674!!Nonfamily households!!Estimate","ZCTA5 98674!!Nonfamily households!!Margin of Error"
"Total","4,093","±281","3,283","±290","2,571","±267","810","±192"
"Less than $10,000","3.1%","±1.4","2.8%","±1.6","1.0%","±1.0","4.3%","±3.7"
"$10,000 to $14,999","2.6%","±1.9","1.3%","±1.7","1.7%","±2.1","8.0%","±6.5"
"$15,000 to $24,999","8.3%","±3.1","5.0%","±3.1","1.5%","±1.2","28.5%","±12.9"
"$25,000 to $34,999","9.3%","±3.8","8.3%","±4.1","7.3%","±4.6","16.2%","±8.2"
"$35,000 to $49,999","11.8%","±4.0","11.2%","±3.6","9.3%","±3.4","10.2%","±8.9"
"$50,000 to $74,999","26.0%","±6.4","28.4%","±6.9","30.0%","±7.2","16.3%","±10.7"
"$75,000 to $99,999","12.6%","±3.8","12.5%","±3.8","13.7%","±4.6","8.6%","±8.6"
"$100,000 to $149,999","15.8%","±4.1","18.0%","±4.9","21.7%","±5.8","4.8%","±4.6"
"$150,000 to $199,999","6.3%","±3.7","7.6%","±4.6","7.5%","±4.6","1.1%","±1.8"
"$200,000 or more","4.3%","±2.1","4.9%","±2.5","6.2%","±3.1","1.9%","±2.7"
"Median income (dollars)","65,502","±4,129","69,673","±4,875","74,434","±6,296","29,353","±5,507"
"Mean income (dollars)","81,598","±8,735","85,750","±8,960","N","N","59,084","±27,304"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","21.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","22.8%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","16.5%","(X)"
