"Label (Grouping)","United States!!Households!!Estimate","United States!!Households!!Margin of Error","United States!!Families!!Estimate","United States!!Families!!Margin of Error","United States!!Married-couple families!!Estimate","United States!!Married-couple families!!Margin of Error","United States!!Nonfamily households!!Estimate","United States!!Nonfamily households!!Margin of Error"
"Total","122,802,852","±137,327","79,594,270","±130,690","58,370,842","±156,460","43,208,582","±108,781"
"    Less than $10,000","5.8%","±0.1","3.3%","±0.1","1.3%","±0.1","11.3%","±0.1"
"    $10,000 to $14,999","4.0%","±0.1","2.1%","±0.1","1.0%","±0.1","8.0%","±0.1"
"    $15,000 to $24,999","8.3%","±0.1","5.6%","±0.1","3.3%","±0.1","13.9%","±0.1"
"    $25,000 to $34,999","8.4%","±0.1","6.9%","±0.1","4.8%","±0.1","11.8%","±0.1"
"    $35,000 to $49,999","11.9%","±0.1","10.8%","±0.1","9.0%","±0.1","14.5%","±0.1"
"    $50,000 to $74,999","17.4%","±0.1","17.4%","±0.1","16.8%","±0.1","16.9%","±0.1"
"    $75,000 to $99,999","12.8%","±0.1","14.4%","±0.1","15.7%","±0.1","9.2%","±0.1"
"    $100,000 to $149,999","15.7%","±0.1","19.1%","±0.1","22.5%","±0.1","8.4%","±0.1"
"    $150,000 to $199,999","7.2%","±0.1","9.2%","±0.1","11.4%","±0.1","2.9%","±0.1"
"    $200,000 or more","8.5%","±0.1","11.1%","±0.1","14.2%","±0.1","3.2%","±0.1"
"Median income (dollars)","65,712","±118","80,944","±161","96,571","±185","39,871","±169"
"Mean income (dollars)","92,324","±166","108,587","±246","126,166","±281","58,110","±220"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","35.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","36.6%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","32.7%","(X)"
